login,name,location_original,created_at,followers,repositories,location_country,score
peng-zhihui,稚晖,Shanghai,,80762,61,中国,104709.4
ruanyf,Ruan YiFeng,"Shanghai, China",,79335,75,中国,206847.39
michaelliao,Crypto Michael,"Beijing, China",,37262,100,中国,54058.52000000001
daimajia,代码家,"Beijing, China",,24631,90,中国,61797.24000000004
programthink,编程随想,China,,21390,5,中国,52961.4
JacksonTian,Jackson Tian,"Hangzhou, China",,21203,285,中国,43867.83999999996
cloudwu,云风,China,,20977,135,中国,44038.32999999999
phodal,Fengda Huang,"Shanghai / Hangzhou, China",,20066,495,中国,90509.64000000012
xiaolai,xiaolai,beijing,,19268,56,中国,54688.12999999999
liyupi,程序员鱼皮,China Shanghai,,17417,83,中国,45749.7
halfrost,halfrost,"[California, Singapore, China]",,17044,81,中国,56700.28999999999
Trinea,Trinea,HangZhou,,17004,24,中国,49546.310000000005
justjavac,迷渡,"Tianjin, China",,16931,381,中国,168563.5299999992
stormzhang,stormzhang,"Shanghai, China",,15879,5,中国,21497.94
lifesinger,lifesinger,"Hangzhou, China",,15869,3,中国,15875.0
jackfrued,骆昊,"Chengdu Sichuan, China",,15627,125,中国,152054.63999999998
Ovilia,Wenli Zhang,"Shanghai, China",,15567,79,中国,22886.47
astaxie,astaxie,"Shanghai, China",,14997,81,中国,84226.90000000004
RubyLouvre,司徒正美,China,,14737,131,中国,26526.519999999997
CyC2018,,"Guangzhou, China",,14577,7,中国,161214.8
sorrycc,chencheng (云谦),"HangZhou, China",,14390,253,中国,80683.86000000007
bailicangdu,cangdu,"Shanghai, China",,13694,23,中国,82879.31
fengdu78,Huang Haiguang,"Qingdao,China",,13256,17,中国,78557.92000000001
breakwa11,破娃酱,"喵嗷污, China",,13201,8,中国,16172.6
PanJiaChen,花裤衩,"Shanghai, China",,13081,73,中国,105719.62
draveness,Draven,"Beijing, China",,13012,90,中国,17910.93
hongyangAndroid,张鸿洋,"Beijing,China",,12988,102,中国,48559.690000000046
haoel,Hao Chen,Beijing,,12629,29,中国,43058.37
