login,name,location_original,created_at,followers,repositories,location_country
geohot,George Hotz,"San Diego, CA",,43553,96,加拿大
llSourcell,Siraj Raval,"San Francisco, CA",,36827,468,加拿大
wesbos,Wes Bos,"Hamilton, Ontario",,33582,382,加拿大
mdo,Mark Otto,"San Francisco, CA",,23276,34,加拿大
mbostock,Mike Bostock,"San Francisco, CA",,23021,104,加拿大
mli,Mu Li,"Palo Alto, CA",,21279,43,加拿大
feross,Feross Aboukhadijeh,"Stanford, CA",,14405,221,加拿大
mitchellh,Mitchell Hashimoto,"Los Angeles, CA",,14236,128,加拿大
angusshire,Angus H.,"Berkeley, CA",,12748,19,加拿大
developit,Jason Miller,"Hamilton, Ontario, Canada",,12594,404,加拿大
rakyll,Jaana Dogan,"San Francisco, CA",,12189,232,加拿大
adamwathan,Adam Wathan,"Ontario, Canada",,11897,187,加拿大
necolas,Nicolas Gallagher,"San Francisco, CA",,11015,82,加拿大
t3dotgg,Theo Browne,"San Francisco, CA",,10527,125,加拿大
nzakas,Nicholas C. Zakas,"Mountain View, CA",,10414,78,加拿大
aneagoie,Andrei Neagoie,"Toronto, Canada",,10281,157,加拿大
sophiebits,Sophie Alpert,"San Francisco, CA",,10057,185,加拿大
shiftkey,Brendan Forster,Canada,,9898,199,加拿大
joshlong,Josh Long,"San Francisco, CA",,9437,652,加拿大
cyanharlow,Diana Smith,"SF Bay, CA",,8019,16,加拿大
DeborahK,Deborah Kurata,"San Francisco/Silicon Valley, CA",,7816,88,加拿大
ljharb,Jordan Harband,"Hillsborough, CA",,7117,496,加拿大
dalindev,Dalin Huang,"Ottawa, Earth #7",,6979,37,加拿大
simonw,Simon Willison,"Half Moon Bay, CA",,6947,840,加拿大
mxstbr,Max Stoiber,"San Francisco, CA",,6898,327,加拿大
Jarred-Sumner,Jarred Sumner,"San Francisco, CA",,6680,259,加拿大
lemire,Daniel Lemire,"Montreal, Canada",,6624,364,加拿大
machadop1407,Pedro Henrique Machado,"Vancouver, British Columbia, Canada",,6591,103,加拿大
stebsnusch,Stephany Nusch,"Surrey, British Columbia ",,6576,19,加拿大
graydon,Graydon Hoare,"Vancouver, BC",,6576,595,加拿大
rwightman,Ross Wightman,"Vancouver, BC, Canada",,6551,78,加拿大
joshwcomeau,Joshua Comeau,"Montreal, QC",,6378,234,加拿大
swankjesse,Jesse Wilson,"Waterloo, Ontario, Canada",,6365,40,加拿大
ankane,Andrew Kane,"San Francisco, CA",,6294,384,加拿大
TooTallNate,Nathan Rajlich,"San Francisco, CA",,6209,419,加拿大
prakhar1989,Prakhar Srivastav,"San Francisco, CA",,6166,182,加拿大
petehunt,Pete Hunt,"San Francisco, CA",,6017,206,加拿大
ZhangMYihua,Yihua Zhang,Toronto,,5802,148,加拿大
hackingthemarkets,Part Time Larry,"San Francisco, CA",,5744,78,加拿大
himself65,Alex Yang,"Mountain View, CA",,5476,353,加拿大
nfultz,Neal Fultz,"Los Angeles, CA",,5465,219,加拿大
jennybc,Jennifer (Jenny) Bryan,"Vancouver, BC, Canada",,5415,287,加拿大
hak5darren,Darren Kitchen,"San Francisco, CA",,5320,6,加拿大
aymericdamien,Aymeric Damien,"San Francisco, CA",,5238,12,加拿大
MariyaSha,Mariya,"Vancouver, BC",,5169,65,加拿大
freddier,Freddy Vega,"San Francisco, CA",,5084,15,加拿大
ebidel,Eric Bidelman,"Los Angeles, CA",,5062,91,加拿大
susanli2016,Susan Li,Toronto Canada,,4921,34,加拿大
philipwalton,Philip Walton,"Los Angeles, CA",,4831,87,加拿大
gorhill,Raymond Hill,Canada / Québec,,4817,26,加拿大
lukeed,Luke Edwards,"San Francisco, CA",,4718,363,加拿大
soffes,Sam Soffes,"San Francisco, CA",,4693,182,加拿大
numbbbbb,Jie Liang,"Oakville, ON",,4687,78,加拿大
CamDavidsonPilon,Cameron Davidson-Pilon,"Waterloo, Canada",,4640,103,加拿大
thedaviddias,David Dias,"Toronto, Canada",,4548,96,加拿大
