login,name,location_original,created_at,followers,repositories,location_country
hiteshchoudhary,Hitesh Choudhary,India,,33290,101,印度
krishnaik06,Krish C Naik,Bangalore,,30944,331,印度
iam-veeramalla,Abhishek Veeramalla,"Hyderabad, India",,16279,63,印度
gopinav,Vishwas,India,,14683,70,印度
in28minutes,,"Hyderabad, India",,14373,104,印度
anuraghazra,Anurag Hazra,"India, West Bengal",,13130,139,印度
iampawan,Pawan Kumar,"Faridabad, India",,11329,248,印度
noob-hackers,N17R0,india,,9607,24,印度
knadh,Kailash Nadh,Bengaluru,,9581,83,印度
s0md3v,Somdev Sangwan,India,,8906,55,印度
samarjitsahoo,Samarjit Sahoo,"India, Asia",,8705,13,印度
nwaliaez,Neeraj Walia,India,,8449,18,印度
amitshekhariitbhu,AMIT SHEKHAR,"New Delhi, India",,7953,104,印度
shradha-khapra,Shradha Khapra,"New Delhi,India",,7366,20,印度
ashishpatel26,Ashish Patel,Ahmedabad,,7104,1943,印度
V1nni00,Vinay Kumar,India,,7001,0,印度
loveBabbar,love babbar,new delhi,,6653,14,印度
Nakshatra05,Nakshatra Goel,"Delhi, India",,6645,30,印度
campusx-official,CampusX,"Gurgaon, India",,6343,188,印度
vivekweb2013,vivekweb2013,"Pune, India",,5938,27,印度
ValentineFernandes,Valentine Fernandes,"Mumbai, India",,5253,66,印度
riti2409,Riti Kumari,Jharkhand India,,5043,69,印度
Anuj-Kumar-Sharma,Anuj Kumar Sharma,"New Delhi, India",,4927,39,印度
RameshMF,Ramesh Fadatare,Pune,,4813,249,印度
championswimmer,Arnav Gupta,"Bangalore, India",,4664,370,印度
arpitbbhayani,Arpit Bhayani,Bangalore,,4571,189,印度
Ignitetechnologies,Hacking Articles ,New Delhi,,4562,25,印度
LondheShubham153,Shubham Londhe,"Pune, Maharashtra",,4512,146,印度
