login,name,location_original,created_at,followers,repositories,location_country
gustavoguanabara,Gustavo Guanabara,"Rio de Janeiro, Brazil",,92040,7,巴西
rafaballerini,Rafaella Ballerini,"Santa Catarina, Brasil",,54077,64,巴西
filipedeschamps,Filipe Deschamps,Brasil,,33625,27,巴西
diego3g,Diego Fernandes,Brasil,,31547,142,巴西
maykbrito,Mayk Brito,Brazil,,16032,173,巴西
matheusbattisti,Matheus Battisti - Hora de Codar,"Floripa, Brasil",,12334,150,巴西
acenelio,Nelio Alves,Brazil,,12087,290,巴西
dsacademybr,Data Science Academy,Brasil,,11331,4,巴西
professorguanabara,Gustavo Guanabara,"Rio de Janeiro, Brazil",,10458,6,巴西
akitaonrails,Fabio Akita,Brazil,,10421,131,巴西
ErickWendel,Erick Wendel,São Paulo - Brazil,,10120,317,巴西
arthurspk,Arthur Coutinho,"Alagoas, Brazil",,9300,161,巴西
teteusAraujo,Mateus Araújo,São Paulo/SP,,8999,23,巴西
elidianaandrade,Eli,Brazil,,8863,9,巴西
alineai18,Aline Angela Ibers,Brazil,,8355,4,巴西
cami-la,Camila Cavalcante,"Pernambuco, Brazil",,7734,170,巴西
felipefialho,Felipe Fialho,Sao Paulo - Brazil,,7595,41,巴西
luizomf,Luiz Otávio,"Boa Esperança, MG, Brazil",,7270,99,巴西
Rafaelmdcarneiro,Rafael Carneiro,Brazil,,6958,257,巴西
omariosouto,Mario Souto,"Brasil, São Paulo ",,6926,369,巴西
rodrigobranas,Rodrigo Branas,"Florianópolis, Brazil",,6541,274,巴西
iuricode,Iuri Silva,Brasil,,6376,9,巴西
isyuricunha,Yuri,Brazil,,6340,67,巴西
otaviossousa,Otavio Sousa,Brazil,,6305,26,巴西
Fernanda-Kipper,Fernanda Kipper,Brazil,,6055,79,巴西
avelino,Avelino,Brazil,,5508,237,巴西
falvojr,Venilton FalvoJr,"Araraquara-SP, Brazil",,5470,100,巴西
MichelliBrito,Michelli Brito,"Alphaville, SP, Brasil",,5248,31,巴西
Rodrigo-Cn,Rodrigo Costa,Guanambi - Bahia - Brazil,,4980,33,巴西
AlianeAmaral,Aliane E. Amaral,"Campo Grande, MS - Brazil",,4653,26,巴西
DanielHe4rt,Daniel Reis,Brazil,,4614,210,巴西
insidegui,Guilherme Rambo,Brazil,,4568,222,巴西
