login,name,location_original,created_at,followers,repositories,location_country
tiangolo,Sebastián Ramírez,"Berlin, Germany",,26478,88,德国
schacon,Scott Chacon,"Berlin, Germany",,13757,241,德国
philipplackner,Philipp Lackner,Germany,,11519,304,德国
sokra,Tobias Koppers,Germany,,9104,138,德国
ChristianLempa,Christian Lempa,Germany,,9094,12,德国
rwieruch,Robin Wieruch,Berlin/Remote,,8623,212,德国
maxschwarzmueller,Maximilian Schwarzmüller,Germany,,7408,12,德国
sebastianbergmann,Sebastian Bergmann,"Siegburg, Germany",,7322,81,德国
shuding,Shu Ding,Berlin,,6764,176,德国
jasineri,Nerijus Jasinskas,Germany,,6735,14,德国
android10,Fernando Cejas,"Berlin, Germany",,6715,82,德国
sharkdp,David Peter,"Stuttgart, Germany",,6684,117,德国
marijnh,Marijn Haverbeke,Berlin,,6526,73,德国
mxmnk,Jerzy,"Berlin, Germany",,6465,11,德国
nikic,Nikita Popov,"Berlin, Germany",,6236,132,德国
Neo23x0,Florian Roth,"Frankfurt, Germany",,5560,147,德国
greenrobot,Markus Junginger,Berlin,,5506,29,德国
sobolevn,,"Frankfurt am Main, Germany",,5487,617,德国
sebastianruder,Sebastian Ruder,"Berlin, Germany",,5466,45,德国
joschan21,Joscha Neske,Germany,,5437,40,德国
Ebazhanov,Evgenii Bazhanov,Deutschland,,5408,128,德国
tonsky,Nikita Prokopov,"Berlin, Germany",,5082,124,德国
rusty1s,Matthias Fey,"Dortmund, Germany",,5041,70,德国
qpeckin,,Germany,,4862,4,德国
AlexeyAB,Aleksei Bochkovskii,"Germany, Munich",,4856,131,德国
JohannesMilke,Johannes Milke,Germany - Kassel,,4785,682,德国
NobleMajo,NobleMajo,"Hannover, DE",,4719,20,德国
changkun,Changkun Ou,"Munich, Germany",,4667,140,德国
