login,name,location_original,created_at,followers,repositories,location_country
keijiro,Keijiro Takahashi,Japan,,21861,835,日本
kenjinote,kenji,Japan,,16767,604,日本
mattn,mattn,"Osaka, Japan",,12445,2096,日本
craftzdog,Takuya Matsuyama,"Osaka, Japan",,10823,165,日本
matz,"Yukihiro ""Matz"" Matsumoto","Matsue, Japan",,9833,15,日本
dennybritz,Denny Britz,"Tokyo, Japan",,9471,68,日本
wasabeef,Daichi Furiya,"Tokyo, Japan",,9370,50,日本
lepture,Hsiaoming Yang,Japan,,8701,185,日本
zcbenz,Cheng,Japan,,7408,53,日本
dai-shi,Daishi Kato,Tokyo,,6949,154,日本
rui314,Rui Ueyama,Tokyo,,5942,45,日本
domenic,Domenic Denicola,"Tokyo, Japan",,5405,311,日本
guo-yu,Guo Yu,"Tokyo & Azumino, Japan",,5110,210,日本
Shougo,Shougo,Japan,,4946,210,日本
hardmaru,hardmaru,Tokyo,,4871,81,日本
marcan,Hector Martin,"Tokyo, Japan",,4571,90,日本
