login,name,location_original,created_at,followers,repositories,location_country
brunosimon,Bruno Simon,Paris,,18771,88,法国
fabpot,Fabien Potencier,"Paris, France",,13244,90,法国
Charles-Chrismann,Charles Chrismann,"Paris, La Défense",,12146,53,法国
rougier,Nicolas P. Rougier,"Bordeaux, France",,7021,318,法国
Grafikart,Jonathan,Montpellier,,5943,71,法国
posva,Eduardo San Martin Morote,Paris ,,5903,359,法国
ornicar,Thibault Duplessis,France,,5739,453,法国
Akryum,Guillaume Chau,France,,5077,232,法国
atinux,Sébastien Chopin,France,,4821,362,法国
ogrisel,Olivier Grisel,"Paris, France",,4745,236,法国
