login,name,location_original,created_at,followers,repositories,location_country
tj,TJ Holowaychuk,"London, UK",,50867,326,英国
kamranahmedse,Kamran Ahmed,United Kingdom,,34710,114,英国
iamshaunjp,Shaun (Net Ninja),United Kingdom,,30991,131,英国
kunal-kushwaha,Kunal Kushwaha,"London, UK",,30854,56,英国
developedbyed,Simo Edwin,Scotland,,20130,85,英国
angelabauer,Angela Yu,"London, UK",,18661,975,英国
chrisbanes,Chris Banes,"Bath, UK",,18608,51,英国
jlord,Jessica Lord,"London, England",,16355,198,英国
tomnomnom,Tom Hudson,"Yorkshire, UK",,12101,101,英国
Elfocrash,Nick Chapsas,"London, UK",,10602,51,英国
toddmotto,Todd Motto,"England, UK",,9685,103,英国
frontend-joe,Joe,United Kingdom,,9425,95,英国
alyssaxuu,Alyssa X,"London, UK",,8780,15,英国
twostraws,Paul Hudson,"Bath, UK",,8328,72,英国
eddiejaoude,Eddie Jaoude,"London, UK",,8328,115,英国
daneden,Daniel Eden,"London, UK",,8169,106,英国
remy,Remy Sharp,"Brighton, UK",,7700,361,英国
davidbombal,David Bombal,UK,,7340,18,英国
LaravelDaily,Laravel Daily,"Vilnius, Lithuania / London, UK",,7282,362,英国
jskeet,Jon Skeet,"London, UK",,7015,103,英国
mattdesl,Matt DesLauriers,"London, UK",,6950,652,英国
GrahamCampbell,Graham Campbell,"York, United Kingdom",,6772,86,英国
nicklockwood,Nick Lockwood,London,,6233,97,英国
jgthms,Jeremy Thomas,London,,5865,96,英国
bizz84,Andrea Bizzotto,London,,5636,127,英国
MichalPaszkiewicz,Michal J A Paszkiewicz,"Gloucester, UK",,5531,72,英国
mattpocock,Matt Pocock,Oxfordshire,,5404,213,英国
ept,Martin Kleppmann,"Cambridge, UK",,5377,114,英国
csswizardry,Harry Roberts,"Leeds, UK",,5059,56,英国
samuelcolvin,Samuel Colvin,"London, United Kingdom",,4951,283,英国
alexellis,Alex Ellis,United Kingdom,,4892,494,英国
Lissy93,Alicia Sykes,"London, UK",,4865,123,英国
jgilfelt,Jeff Gilfelt,"London, United Kingdom",,4712,34,英国
milsaware,milsaware,United Kingdom,,4594,20,英国
sonnysangha,Sonny Sangha,London,,4502,39,英国
