login,name,location_original,created_at,followers,repositories,location_country
kennethreitz,Kenneth Reitz,"Virginia, USA, Earth, Milky Way.",,29134,139,这不是一个国家
sdras,Sarah Drasner,All over the place,,23994,114,这不是一个国家
jessfraz,Jess Frazelle,PID 1,,13196,196,这不是一个国家
ghost,Deleted user,"Nothing to see here, move along.",,10380,8,这不是一个国家
abhishekkrthakur,abhishek thakur,127.0.0.1,,9153,94,这不是一个国家
fat,fat,internet jail,,8703,68,这不是一个国家
H-K-R,Humayra Khanom Rime,Your Heart,,8498,56,这不是一个国家
UberGuidoZ,UberGuidoZ,Everywhere and nowhere,,7342,86,这不是一个国家
satya-nutella,,/dev/null,,7283,109,这不是一个国家
Huxpro,Xuan Huang (黄玄),"[NY, CA, ...China]",,7125,89,这不是一个国家
vxunderground,,International,,6867,4,这不是一个国家
byt3bl33d3r,Marcello,Error: Unable to resolve,,6823,86,这不是一个国家
ericelliott,Eric Elliott,The metaverse,,6510,152,这不是一个国家
ashishps1,Ashish Pratap Singh,Remote,,5804,41,这不是一个国家
jdalton,John-David Dalton,Remote,,5398,31,这不是一个国家
BaseMax,Max Base,"The Internet, Remote",,5388,742,这不是一个国家
SkalskiP,Piotr Skalski,127.0.0.1,,5104,131,这不是一个国家
acheong08,Antonio Cheong,Your computer,,4989,91,这不是一个国家
sahat,Sahat Yalkabov,Remote,,4741,185,这不是一个国家
