login,name,location,created_at,followers,repositories
torvalds,Linus Torvalds,"Portland, OR",N/A,219610,31
yyx990803,Evan You,Singapore,N/A,101840,230
gustavoguanabara,Gustavo Guanabara,"Rio de Janeiro, Brazil",N/A,92040,7
karpathy,Andrej,Stanford,N/A,91536,59
gaearon,dan,,N/A,87970,326
peng-zhihui,稚晖,Shanghai,N/A,80762,61
ruanyf,Ruan YiFeng,"Shanghai, China",N/A,79335,75
bradtraversy,Brad Traversy,Massachusetts,N/A,72334,290
sindresorhus,Sindre Sorhus,,N/A,69555,1159
JakeWharton,Jake Wharton,"Pittsburgh, PA, USA",N/A,67641,206
rafaballerini,Rafaella Ballerini,"Santa Catarina, Brasil",N/A,54077,64
tj,TJ Holowaychuk,"London, UK",N/A,50867,326
getify,Kyle Simpson,"Austin, TX",N/A,43936,71
geohot,George Hotz,"San Diego, CA",N/A,43553,96
addyosmani,Addy Osmani,"Mountain View, California",N/A,43081,374
lucidrains,Phil Wang,San Francisco,N/A,41421,315
michaelliao,Crypto Michael,"Beijing, China",N/A,37262,100
llSourcell,Siraj Raval,"San Francisco, CA",N/A,36827,468
ThePrimeagen,ThePrimeagen,"9th Ring, Vim",N/A,35361,216
kamranahmedse,Kamran Ahmed,United Kingdom,N/A,34710,114
filipedeschamps,Filipe Deschamps,Brasil,N/A,33625,27
wesbos,Wes Bos,"Hamilton, Ontario",N/A,33582,382
kentcdodds,Kent C. Dodds,"Salt Lake City, Utah, USA",N/A,33315,790
hiteshchoudhary,Hitesh Choudhary,India,N/A,33290,101
IDouble,Alp ₿📈🚀🌕,"Zurich, Switzerland",N/A,33185,61
3b1b,Grant Sanderson,,N/A,32994,12
antfu,Anthony Fu,undefined,N/A,32988,493
taylorotwell,Taylor Otwell,"Little Rock, AR",N/A,32631,54
ry,Ryan Dahl,New York City,N/A,31863,69
diego3g,Diego Fernandes,Brasil,N/A,31547,142
paulirish,Paul Irish,,N/A,31472,439
iamshaunjp,Shaun (Net Ninja),United Kingdom,N/A,30991,131
krishnaik06,Krish C Naik,Bangalore,N/A,30944,331
kunal-kushwaha,Kunal Kushwaha,"London, UK",N/A,30854,56
dmalan,David J. Malan,"Cambridge, MA, USA",N/A,30623,31
WebDevSimplified,,Nebraska,N/A,30334,207
kennethreitz,Kenneth Reitz,"Virginia, USA, Earth, Milky Way.",N/A,29134,139
benawad,Ben Awad,"Austin, TX",N/A,29014,264
StephenGrider,Stephen Grider,,N/A,28817,134
midudev,Miguel Ángel Durán,Barcelona,N/A,28322,199
adrianhajdin,Adrian Hajdin - JS Mastery,Croatia,N/A,28286,149
buckyroberts,Bucky Roberts,"New York, NY",N/A,27286,61
tiangolo,Sebastián Ramírez,"Berlin, Germany",N/A,26478,88
hadley,Hadley Wickham,"Houston, TX",N/A,25840,357
CodeWithHarry,,,N/A,25764,37
mouredev,Brais Moure,Building software with  ♥ from Galicia (Spain) to the world.,N/A,25384,47
jonasschmedtmann,Jonas Schmedtmann,"Faro, Portugal",N/A,25296,8
rasbt,Sebastian Raschka,"Madison, WI",N/A,24766,159
gamemann,Christian Deacon,"Mullica Hill, New Jersey, US",N/A,24663,161
daimajia,代码家,"Beijing, China",N/A,24631,90
mojombo,Tom Preston-Werner,San Francisco,N/A,24054,88
sdras,Sarah Drasner,All over the place,N/A,23994,114
jwasham,John Washam,United States,N/A,23676,30
mrdoob,,,N/A,23432,50
gvanrossum,Guido van Rossum,San Francisco Bay Area,N/A,23293,54
mdo,Mark Otto,"San Francisco, CA",N/A,23276,34
mbostock,Mike Bostock,"San Francisco, CA",N/A,23021,104
defunkt,Chris Wanstrath,,N/A,22401,125
kelseyhightower,Kelsey Hightower,"Portland, OR",N/A,22346,241
JohnMwendwa,John Mwendwa,"Nairobi, Kenya",N/A,22062,113
techwithtim,Tim Ruscica,Dubai,N/A,21995,182
keijiro,Keijiro Takahashi,Japan,N/A,21861,835
mitsuhiko,Armin Ronacher,Austria,N/A,21761,315
douglascrockford,Douglas Crockford,Anaheim,N/A,21739,18
codediodeio,Jeff Delaney,"Phoenix, AZ",N/A,21678,85
tpope,Tim Pope,"Brooklyn, NY",N/A,21657,90
antirez,Salvatore Sanfilippo,"Catania, Sicily, Italy",N/A,21637,88
programthink,编程随想,China,N/A,21390,5
geerlingguy,Jeff Geerling,"St. Louis, MO",N/A,21284,297
mli,Mu Li,"Palo Alto, CA",N/A,21279,43
MorvanZhou,Morvan,,N/A,21253,39
JacksonTian,Jackson Tian,"Hangzhou, China",N/A,21203,285
donnemartin,Donne Martin,"Washington, D.C.",N/A,21093,29
cloudwu,云风,China,N/A,20977,135
ProgrammingHero1,Programming Hero,,N/A,20691,721
MrXyfir,xyfir,California,N/A,20579,19
dhh,David Heinemeier Hansson,,N/A,20415,21
SebLague,Sebastian Lague,Denmark,N/A,20279,89
developedbyed,Simo Edwin,Scotland,N/A,20130,85
phodal,Fengda Huang,"Shanghai / Hangzhou, China",N/A,20066,495
john-smilga,John Smilga,"Sarasota, FL",N/A,19938,261
Luc4st1574,Lucas Santillan,,N/A,19349,12
xiaolai,xiaolai,beijing,N/A,19268,56
shiffman,Daniel Shiffman,"New York, NY",N/A,19266,255
Rich-Harris,Rich Harris,NYC,N/A,19234,403
elyxdev,Elyx,"Medellín, Colombia.",N/A,19071,14
