login,name,location,created_at,followers,repositories,score
peng-zhihui,稚晖,中国,,80762,61,104709.4
ruanyf,Ruan YiFeng,中国,,79335,75,206847.39
michaelliao,Crypto Michael,中国,,37262,100,54058.52000000001
daimajia,代码家,中国,,24631,90,61797.24000000004
programthink,编程随想,中国,,21390,5,52961.4
JacksonTian,Jackson Tian,中国,,21203,285,43867.83999999996
cloudwu,云风,中国,,20977,135,44038.32999999999
phodal,Fengda Huang,中国,,20066,495,90509.64000000013
xiaolai,xiaolai,中国,,19268,56,54688.12999999999
liyupi,程序员鱼皮,中国,,17417,83,45749.7
halfrost,halfrost,中国,,17044,81,56700.289999999986
Trinea,Trinea,中国,,17004,24,49546.310000000005
justjavac,迷渡,中国,,16931,381,168563.5299999992
stormzhang,stormzhang,中国,,15879,5,21497.940000000002
lifesinger,lifesinger,中国,,15869,3,15875.0
jackfrued,骆昊,中国,,15627,125,152054.63999999998
Ovilia,Wenli Zhang,中国,,15567,79,22886.47
astaxie,astaxie,中国,,14997,81,84226.90000000004
RubyLouvre,司徒正美,中国,,14737,131,26526.519999999993
CyC2018,,中国,,14577,7,161214.8
sorrycc,chencheng (云谦),中国,,14390,253,80683.86000000007
bailicangdu,cangdu,中国,,13694,23,82879.31
fengdu78,Huang Haiguang,中国,,13256,17,78557.92000000001
breakwa11,破娃酱,中国,,13201,8,16172.6
PanJiaChen,花裤衩,中国,,13081,73,105719.62
draveness,Draven,中国,,13012,90,17910.93
hongyangAndroid,张鸿洋,中国,,12988,102,48559.690000000046
haoel,Hao Chen,中国,,12629,29,43058.369999999995
egoist,EGOIST,中国,,12315,847,90844.29000000002
YunaiV,芋道源码,中国,,11718,86,65967.74
mqyqingfeng,冴羽,中国,,11310,33,37611.00000000001
fouber,张云龙,中国,,11272,182,33557.21999999999
muan,Mu-An Chiou,中国,,11232,180,29780.699999999993
QianMo,浅墨（毛星云）,中国,,11012,37,37349.50000000001
miloyip,Milo Yip,中国,,10589,32,46328.070000000014
sofish,小鱼,中国,,10485,42,20914.55
Snailclimb,Guide,中国,,10440,24,149429.33
easychen,Easy,中国,,9907,225,79527.71000000004
CoderMJLee,M了个J,中国,,9805,16,31706.600000000002
ustbhuangyi,HuangYi,中国,,9631,79,33959.22
wizardforcel,布客飞龙,中国,,9612,772,17785.880000000012
Jack-Cherish,Jack Cui,中国,,9426,18,32159.680000000004
wintercn,Shaofei Cheng,中国,,9287,54,11112.89
i5ting,狼叔,中国,,9081,951,29300.449999999983
dyc87112,程序猿DD,中国,,9079,62,31282.339999999997
521xueweihan,削微寒,中国,,9006,150,117286.8400000001
macrozheng,macro,中国,,8952,19,107988.75000000001
ityouknow,纯洁的微笑,中国,,8779,30,47180.200000000004
MisterBooo,吴师兄学算法,中国,,8745,88,72452.5
audreyt,唐鳳,中国,,8677,390,16584.140000000014
Fndroid,Fndroid,中国,,8552,64,8759.19
liaohuqiu,Huqiu Liao,中国,,8308,125,24143.809999999998
chokcoco,Coco,中国,,8246,67,37916.69999999998
fengmk2,fengmk2,中国,,8120,243,19144.56999999998
mercyblitz,Mercy Ma,中国,,8065,56,35415.48999999999
drakeet,Drakeet,中国,,7969,25,16692.969999999998
rengwuxian,Kai Zhu,中国,,7959,65,17262.299999999992
jaywcjlove,小弟调调,中国,,7928,209,141315.04
vinta,Vinta Chen,中国,,7909,23,191788.47000000003
CarGuo,Shuyu Guo,中国,,7632,57,48547.23
PKUFlyingPig,Yinmin Zhong,中国,,7424,87,60572.060000000005
youngyangyang04,程序员Carl,中国,,7408,48,57037.92999999999
singwhatiwanna,singwhatiwanna,中国,,7344,27,21600.760000000002
skyzh,Alex Chi Z.,中国,,7257,237,29083.46999999999
nihui,,中国,,7193,185,36355.54999999995
tangqiaoboy,Tang Qiao,中国,,7177,44,12907.550000000001
overtrue,安正超,中国,,7111,110,39679.91999999999
afc163,afc163,中国,,7064,277,17713.659999999978
oldratlee,李鼎,中国,,6976,63,50454.81000000001
hehonghui,Mr.Simple,中国,,6944,291,38591.499999999985
tiann,weishu,中国,,6912,128,26461.64
xufei,xufei,中国,,6809,41,13479.800000000003
appleboy,Bo-Yi Wu,中国,,6803,593,118710.87000000024
amusi,Amusi,中国,,6779,255,54496.44
bigtreetech,BIGTREETECH,中国,,6667,139,16265.080000000004
skywind3000,Linwei,中国,,6554,152,50686.81000000001
TommyZihao,Tommy in Tongji,中国,,6298,129,16819.280000000006
coderwhy,,中国,,6294,33,15472.520000000002
gaoxiang12,Xiang Gao,中国,,6155,51,21251.12
guolindev,Lin Guo,中国,,5876,17,23364.839999999997
liuhuanyong,liuhuanyong,中国,,5863,73,23484.200000000008
fuzhengwei,小傅哥,中国,,5860,196,30498.989999999965
qiwsir,老齐,中国,,5810,310,12343.820000000007
yihong0618,yihong,中国,,5627,109,37759.11000000001
xuxueli,许雪里,中国,,5611,12,32598.200000000004
crossoverJie,crossoverJie,中国,,5603,138,40310.68000000002
fenixsoft,IcyFenix,中国,,5507,19,15256.1
yanhaijing,颜海镜,中国,,5502,105,10900.900000000001
tw93,Tw93,中国,,5408,30,42703.180000000015
jinzhu,Jinzhu,中国,,5375,111,46278.73000000004
alsotang,alsotang,中国,,5228,214,21234.459999999985
wx-chevalier,王下邀月熊,中国,,5220,157,19507.800000000003
HcySunYang,Chunyang Huo,中国,,5194,121,12907.260000000006
Yidadaa,Yifei Zhang,中国,,5157,61,66883.77
krahets,Yudong Jin,中国,,5136,11,88742.7
huangzworks,宏图书社 | 黄健宏,中国,,5120,48,21092.230000000003
julycoding,July,中国,,5109,7,22617.539999999997
roboticcam,Prof Richard Xu                 徐亦达教授,中国,,5017,13,11999.600000000002
jindongwang,Jindong Wang,中国,,5016,68,25862.499999999996
huacnlee,Jason Lee,中国,,4955,194,42162.00000000003
rfyiamcool,fengyun.rui,中国,,4951,328,14937.199999999995
tshemsedinov,Timur Shemsedinov,中国,,4930,234,6953.809999999999
