login,name,location_original,created_at,followers,repositories,location_country,score
torvalds,Linus Torvalds,"Portland, OR",,219610,31,美国,318117.78
karpathy,Andrej,Stanford,,91536,59,美国,274072.21
bradtraversy,Brad Traversy,Massachusetts,,72334,290,美国,204485.24999999994
JakeWharton,Jake Wharton,"Pittsburgh, PA, USA",,67641,206,美国,363453.4799999998
getify,Kyle Simpson,"Austin, TX",,43936,71,美国,212737.41
addyosmani,Addy Osmani,"Mountain View, California",,43081,374,美国,167172.84999999998
lucidrains,Phil Wang,San Francisco,,41421,315,美国,171514.97000000003
kentcdodds,Kent C. Dodds,"Salt Lake City, Utah, USA",,33315,790,美国,142445.88999999972
ry,Ryan Dahl,New York City,,31863,69,美国,35112.340000000004
dmalan,David J. Malan,"Cambridge, MA, USA",,30623,31,美国,31103.46
WebDevSimplified,,Nebraska,,30334,207,美国,49841.19
benawad,Ben Awad,"Austin, TX",,29014,264,美国,53870.73999999999
buckyroberts,Bucky Roberts,"New York, NY",,27286,61,美国,35096.130000000005
hadley,Hadley Wickham,"Houston, TX",,25840,357,美国,78966.80000000005
rasbt,Sebastian Raschka,"Madison, WI",,24766,159,美国,130497.02000000002
gamemann,Christian Deacon,"Mullica Hill, New Jersey, US",,24663,161,美国,27168.34
mojombo,Tom Preston-Werner,San Francisco,,24054,88,美国,38630.24
jwasham,John Washam,United States,,23676,30,美国,280124.47000000003
gvanrossum,Guido van Rossum,San Francisco Bay Area,,23293,54,美国,44955.12000000001
kelseyhightower,Kelsey Hightower,"Portland, OR",,22346,241,美国,138441.15999999997
douglascrockford,Douglas Crockford,Anaheim,,21739,18,美国,34524.29
tpope,Tim Pope,"Brooklyn, NY",,21657,90,美国,111509.61000000002
geerlingguy,Jeff Geerling,"St. Louis, MO",,21284,297,美国,70525.56000000003
donnemartin,Donne Martin,"Washington, D.C.",,21093,29,美国,333373.54000000004
MrXyfir,xyfir,California,,20579,19,美国,21319.77
shiffman,Daniel Shiffman,"New York, NY",,19266,255,美国,32668.93
Rich-Harris,Rich Harris,NYC,,19234,403,美国,53134.279999999955
jeresig,John Resig,"Hudson Valley, NY",,18744,119,美国,27660.559999999998
loiane,Loiane Groner,"Florida, US",,18420,358,美国,28332.76000000001
mattt,Mattt,"Portland, OR",,18023,103,美国,44867.86
cumsoft,cumsoft,"New York, NY",,17759,8,美国,18050.0
jakevdp,Jake Vanderplas,Oakland CA,,17753,286,美国,95740.35000000008
vczh,,"Seattle, WA, USA",,17513,19,美国,27658.379999999997
codingforentrepreneurs,Coding For Entrepreneurs,"Boise, Idaho",,16381,206,美国,29546.800000000003
octocat,The Octocat,San Francisco,,15563,203,美国,31533.45
chiphuyen,Chip Huyen,San Francisco,,15331,36,美国,42510.729999999996
spf13,Steve Francia,NYC,,15318,113,美国,91913.99000000003
isaacs,isaacs,Oakland CA,,15169,507,美国,55817.35000000004
rauchg,Guillermo Rauch,SF,,14939,181,美国,39613.04
wesm,Wes McKinney,"Nashville, TN",,14758,147,美国,42322.40999999997
goodfeli,Ian Goodfellow,Mountain View,,14310,24,美国,18569.36
ahejlsberg,Anders Hejlsberg,"Redmond, WA, USA",,14302,7,美国,41486.07
acdlite,Andrew Clark,New York,,14235,87,美国,200565.94
unclebob,Robert C. Martin,"Gurnee, IL",,13729,76,美国,16480.34
cassidoo,Cassidy Williams,"Chicago, IL",,13385,188,美国,26079.61
jashkenas,Jeremy Ashkenas,Berkeley,,13244,26,美国,53325.15
leerob,Lee Robinson,"Des Moines, IA",,12689,89,美国,70914.28000000001
CoreyMSchafer,Corey Schafer,United States,,12660,5,美国,18430.74
BYVoid,Carbo Kuo,New York,,12585,48,美国,20217.740000000005
evanw,Evan Wallace,San Francisco,,12526,129,美国,43340.92999999999
btholt,Brian Holt,MSP 🔜 SNA 🔜 SLC 🔜 SMF,,12488,167,美国,23855.36000000001
soumith,Soumith Chintala,"New York, USA",,12200,212,美国,48936.53
bradfitz,Brad Fitzpatrick,Seattle,,12109,166,美国,28341.94000000001
agentzh,Yichun Zhang,San Francisco Bay Area,,11673,91,美国,15692.25
shanselman,Scott Hanselman,"Portland, OR",,11315,240,美国,36010.04000000001
bvaughn,Brian Vaughn,"Brooklyn, NY",,11179,183,美国,68378.74999999999
samyk,samy kamkar,los angeles,,11020,185,美国,26814.22
zenorocha,Zeno Rocha,"San Francisco, California",,10974,188,美国,54798.570000000014
bot50,CS50 Bot,"Cambridge, Massachusetts, USA",,10958,31,美国,11034.2
chriscoyier,Chris Coyier,"Bend, Oregon",,10853,78,美国,14982.900000000003
amueller,Andreas Mueller,Los Gatos,,10731,217,美国,23438.550000000017
gitdagray,Dave Gray,"Lawrence, Kansas",,10651,176,美国,16052.990000000003
chenshuo,Shuo Chen,California,,10623,56,美国,21092.61
mnielsen,Michael Nielsen,"San Francisco, California",,10616,37,美国,20731.82
romannurik,Roman Nurik,"New York, NY",,10554,65,美国,22317.500000000007
ChrisTitusTech,Chris Titus,"Dallas, TX",,10300,58,美国,29770.980000000003
lattner,Chris Lattner,"Bay Area, California, USA",,10288,17,美国,47930.73
jhaddix,Jason Haddix,United States,,10246,72,美国,45501.52999999998
wycats,Yehuda Katz,"Portland, OR",,10228,397,美国,46931.470000000016
romainguy,Romain Guy,California,,10095,21,美国,37631.350000000006
alex,Alex Gaynor,Washington D.C.,,9960,497,美国,69093.81000000035
Sentdex,Harrison,Texas,,9932,47,美国,18828.09
mgechev,Minko Gechev,California,,9888,404,美国,97324.63000000008
AllenDowney,Allen Downey,"Needham, MA, USA",,9814,369,美国,27756.249999999964
jaredpalmer,Jared Palmer,"New York, NY",,9459,216,美国,176299.10000000006
tenderlove,Aaron Patterson,Seattle,,9448,413,美国,29508.079999999994
colah,Christopher Olah,San Francisco,,9373,67,美国,11979.36
norvig,Peter Norvig,"Palo Alto, CA, USA",,9284,6,美国,39857.58
CleverProgrammer,Rafeh Qazi,Los Angeles,,8889,191,美国,10222.409999999998
sebmarkbage,Sebastian Markbåge,New York City,,8822,83,美国,197317.55999999988
igrigorik,Ilya Grigorik,"Portland, OR",,8766,95,美国,30904.469999999994
ardalis,Steve Smith,Ohio,,8712,294,美国,69533.90000000004
felangel,Felix Angelov,Chicago,,8683,147,美国,23204.88
pjhyett,PJ Hyett,San Francisco,,8308,8,美国,8795.29
justmarkham,Kevin Markham,"Asheville, NC, USA",,8251,44,美国,19516.16
jamesmontemagno,James Montemagno,Pacific Northwest,,8075,405,美国,23380.389999999985
dtolnay,David Tolnay,"Redwood City, California",,8021,123,美国,56802.159999999996
springframeworkguru,John Thompson,"Tampa Bay, Florida",,7859,216,美国,11905.679999999998
ryanb,Ryan Bates,Southern Oregon,,7717,80,美国,28109.339999999997
Yangqing,Yangqing Jia,Berkeley,,7699,55,美国,8783.58
Germey,Germey,United States of America,,7687,233,美国,17304.960000000006
andrewrk,Andrew Kelley,"Portland, Oregon",,7603,269,美国,54358.79999999999
mxcl,Max Howell,"Apex, NC, USA",,7365,64,美国,24403.489999999994
dabit3,Nader Dabit,"Madison, Mississippi",,7257,458,美国,55859.400000000074
rsms,Rasmus,San Francisco,,7224,182,美国,40572.36
mjackson,Michael Jackson,"Carlsbad, California",,7089,205,美国,44191.56999999999
jeffheaton,Jeff Heaton,"St. Louis, MO, USA",,6894,61,美国,14866.710000000001
steveklabnik,Steve Klabnik,"Austin, TX",,6806,876,美国,19624.990000000013
junyanz,Jun-Yan Zhu,"Pittsburgh, PA",,6744,64,美国,69422.01000000001
nat,Nat Friedman,San Francisco,,6741,20,美国,34754.6
swyxio,swyx.io,San Francisco,,6720,722,美国,76040.16000000024
ethanflower1903,Ethan Flower-01100101 01110100 01101000 01100001 01101110,san francisco,,6659,323,美国,7025.47
cheshire137,Sarah Vessels,"Nashville, Tennessee",,6652,144,美国,8145.469999999999
notwaldorf,Monica Dinculescu,Sun Funcisco ☀️,,6571,90,美国,17039.5
holman,Zach Holman,San Francisco,,6382,68,美国,23864.559999999998
ahmadawais,Ahmad Awais ⌘,"San Francisco Bay Area, CA, US.",,6242,777,美国,19517.169999999984
giswqs,Qiusheng Wu,"Knoxville, TN",,6191,317,美国,20194.31999999997
mstraughan86,Michael Straughan,"Las Vegas, Nevada",,6054,28,美国,6153.1
jxnblk,Brent Jackson,New York City,,6024,289,美国,57685.96
richhickey,Rich Hickey,NY,,5965,13,美国,7616.44
jbogard,Jimmy Bogard,"Austin, TX",,5945,141,美国,28265.40999999999
chenglou,Cheng Lou,California,,5867,208,美国,37917.759999999995
hussien89aa,Hussein Alrubaye,New York,,5822,65,美国,13284.62
stephencelis,Stephen Celis,California,,5782,154,美国,19658.089999999997
williamfiset,William Fiset,"Mountain View, California",,5712,20,美国,22101.8
markerikson,Mark Erikson,"OH, USA",,5710,97,美国,46245.280000000006
poteto,lauren,nyc,,5700,96,美国,54576.67000000003
PySimpleGUI,PySimpleGUI,USA,,5642,17,美国,16620.930000000004
jherr,Jack Herrington,"Happy Valley, OR",,5592,406,美国,14620.950000000013
moxie0,Moxie Marlinspike,San Francisco,,5586,22,美国,19947.010000000002
eliben,Eli Bendersky,California,,5511,78,美国,25269.04
fogleman,Michael Fogleman,"Cary, NC",,5477,144,美国,33754.69
afollestad,Aidan Follestad,"St. Paul, Minnesota",,5426,34,美国,33971.6
U7P4L-IN,U7P4L x C0D3R,United States,,5363,75,美国,7575.88
mahseema,Mahsima Dastan,San Francisco,,5361,15,美国,6166.76
lidangzzz,立党 Lidang,Texas,,5333,37,美国,10174.330000000002
KevinHock,,I love San Francisco,,5261,49,美国,8885.780000000002
steven-tey,Steven Tey,SF,,5254,105,美国,28708.83
kenwheeler,Ken Wheeler,Jersey Shore,,5226,123,美国,32371.259999999984
leebyron,Lee Byron,San Francisco,,5211,120,美国,44949.02
dabeaz,David Beazley,Chicago,,5182,35,美国,13002.730000000001
creationix,Tim Caswell,"Mountainburg, AR, USA",,5139,534,美国,54933.89000000005
calebporzio,Caleb Porzio,Buffalo NY,,5106,97,美国,39501.64999999999
charliermarsh,Charlie Marsh,"Brooklyn, NY",,5075,65,美国,36093.41999999999
una,Una Kravets,"New York, NY",,5002,202,美国,14554.550000000007
ashleygwilliams,ashley williams,ATX,,4979,425,美国,15330.450000000015
aphyr,Kyle Kingsbury,USA,,4975,125,美国,18489.390000000007
DanWahlin,Dan Wahlin,Arizona,,4959,147,美国,167717.77
Nutlope,Hassan El Mghari,"New York City, NY",,4958,77,美国,27017.400000000005
BretFisher,Bret Fisher,"Virginia Beach, Virginia, USA",,4943,107,美国,16417.78000000001
mikeal,Mikeal Rogers,San Francisco,,4922,534,美国,14423.26000000003
JeffreyZhao,Jeffrey Zhao,United States,,4892,37,美国,5972.75
timbl,Tim Berners-Lee,Boston MA USA,,4850,34,美国,5140.15
anvaka,Andrei Kashcha,Seattle ,,4798,320,美国,23615.760000000006
asweigart,Al Sweigart,USA,,4790,254,美国,13839.63000000003
andrewjmead,Andrew Mead,Philadelphia,,4782,26,美国,5405.22
robbyrussell,Robby Russell,"Portland, Oregon USA",,4717,71,美国,93963.57999999993
joelgrus,Joel Grus,"Boerne, TX",,4707,109,美国,12181.85000000001
rs,Olivier Poitrey,"Silicon Valley, California, USA",,4694,122,美国,36433.60999999998
migueldeicaza,Miguel de Icaza,"Boston, MA.",,4692,220,美国,14968.080000000014
felixrieseberg,Felix Rieseberg,San Francisco,,4687,269,美国,32754.22
Hendrixer,Scott Moss,Bay Area,,4679,182,美国,7311.6100000000015
Gizachew29,Gizachew,"Summerlin, NV,  USA",,4665,60,美国,4754.76
minimaxir,Max Woolf,San Francisco,,4650,144,美国,44101.47999999998
EvanBacon,Evan Bacon,Austin TX,,4599,327,美国,15303.410000000024
JordanSchuetz,Jordan Schuetz,San Francisco CA,,4585,29,美国,9429.09
coryhouse,Cory House,Kansas City,,4554,239,美国,16767.269999999982
kdn251,Kevin Naughton Jr.,"New York, New York",,4548,23,美国,54980.299999999996
zkat,Kat Marchán,stolen Chochenyo Ohlone land,,4540,223,美国,20915.849999999988
